"study","country","religion","subject_id","order_cb","interviewer","language","subject_gender","subject_age","subject_ethnicity","subject_afford","subject_ses","subject_occupation_parent","subject_occupation","subject_education","subject_education_text","subject_urban_rural","subject_religion","subject_religion_parent","subject_religiosity","subject_church","subject_tongues1","subject_tongues2","spev_score","por_score"
"study 2","Thailand","general population",30702,1,"Mui and Buu","Thai","Female",43,"Thai",1,0,"stay home","vendor",NA,NA,"Rural","Buddhist","Buddhist",0,"Pongci temple, Wat Pa Moo Mai @ Mae Tang",1,1,0.333333333333333,0.1875
"study 2","Thailand","general population",30703,1,"Mui and Buu","Thai","Female",42,"Thai",1,0,"Technician, Maid","Vendor","Bachelors degree",NA,"Urban","Buddhist","Buddhist",0,"Neighborhood temple @ San Sai, CM, Hang Chat, Lampang, Dhamma retreat @ Sakon Nakorn, 5 times - forest temple mae Rim, Mae Tang",1,1,0.08,0.34375
"study 2","Thailand","general population",30704,1,"Mui and Buu","Thai","Male",37,"Thai",1,0,"Mom: Maid, Dad: Dead","Owner",NA,NA,"Urban","Islam, but not believe anything","Mom: Buddhist, Dad: Islam  (no religion)",-2,"Missing Data",1,1,0.133333333333333,0.1
"study 2","Thailand","general population",30705,1,"Mui and Buu","Thai","Female",27,"Thai",1,0,"serve","unemployed",NA,NA,"Rural","Buddhist","Buddhist",0,"Doi temple in chiangrai, neighborhood temple",1,1,0.148148148148148,0.28125
"study 2","Thailand","general population",30706,1,"Mui and Buu","Thai","Male",37,"Thai",1,0,"vendor","technician, artisan pottery",NA,NA,"Urban","Buddhist","Buddhist",1,"five precepts? observe sila but not all, refrain from intoxicating drink and abstain from killing, Dhammayuttika Nikaya temple, Ordained @ Wat Maha Nikaai (temple in both rural & urban)",1,1,0.1875,0.375
"study 2","Thailand","general population",30707,1,"Mui and Buu","Thai","Female",29,"Thai",1,0,"Labour, divorced","HR IRO , NGOS",NA,NA,"Rural","Buddhist","Buddhist",0,"Wat Pa Moo Mai <Mae Tang>",1,1,0.222222222222222,0.40625
"study 2","Thailand","general population",30708,1,"Mui and Buu","Thai","Female",50,"Thai",1,0,"Farmer","Farmer",NA,NA,"Rural","Buddhist","Buddhist",0,"Sankwekepkrang temple, Wat San Khao Klang @ San Kamphaeng",1,1,0.1875,0.0625
"study 2","Thailand","general population",30709,1,"Mui and Buu","Thai","Male",26,"Thai",1,-1,"labour","farmer",NA,NA,"Rural","Buddhist","Buddhist",-1,"mdata",1,1,0.133333333333333,0.125
"study 2","Thailand","general population",30710,1,"Mui and Buu","Thai","Female",32,"Thai",1,0,"no job","special instructor/psychologist","Masters degree",NA,"Urban","Buddhist","Buddhist",0,"mdata",1,1,0.0666666666666667,0.15625
"study 2","Thailand","general population",30711,1,"Mui and Buu","Thai","Female",25,"Thai",1,-1,"Housewife","Part time","Masters degree",NA,"Rural","No Religion, finding one","Buddhist",-2,"Missing Data",1,1,0.0666666666666667,0.0625
"study 2","Thailand","general population",30712,1,"Mui and Buu","Thai","Male",36,"Thai",1,0,"Serve, government official (retired)","Vendor, seller","Masters degree",NA,"Rural","Buddhist","Buddhist",-2,"Neighbor temple",1,1,0.375,0.46875
"study 2","Thailand","general population",30713,1,"Mui and Buu","Thai","Female",33,"Thai",1,1,"vendor","researcher",NA,NA,"Rural","Buddhist","Buddhist",0,"Meajo temple",1,1,0.555555555555556,0.46875
"study 2","Thailand","general population",30714,1,"Mui and Buu","Thai","Male",47,"Thai",1,0,"housewife","vendor",NA,NA,"Rural","Buddhist","Buddhist",0,"neighbor temple",1,1,0.259259259259259,0.15625
"study 2","Thailand","general population",30715,1,"Mui and Buu","Thai","Male",35,"Thai",1,0,"Passed away","Farmer","Vocational school",NA,"Rural","Buddhist","Buddhist",-1,"Missing Data",1,1,0.185185185185185,0.21875
"study 2","Thailand","general population",30716,1,"Mui and Buu","Thai","Male",53,"Thai",1,0,"Mom: Housewife, Dad: Government","Goverment","Vocational school",NA,"Urban","Buddhist","Buddhist",0,"Many places",1,1,0.37037037037037,0.0625
"study 2","Thailand","general population",30717,1,"Mui and Buu","Thai","Male",35,"Thai",1,0,"farmer","Contractor","Bachelors degree",NA,"Rural","Buddhist","Buddhist",0,"mdata",1,1,0.153846153846154,0.15625
"study 2","Thailand","general population",30718,1,"Mui and Buu","Thai","Female",72,"Thai",1,-2,"passed away","Labor / for hire",NA,NA,"Rural","Buddhist","Buddhist",1,"Wat Umong",1,1,0.1875,0.1875
"study 2","Thailand","general population",30719,1,"Mui and Buu","Thai","Male",62,"Thai",1,0,"Passed away","Driver @ Agricultural Land Reform Office -> Now retired - Stay home","No HS degree",NA,"Rural","Buddhist","Buddhist",0,"Wat Ubosot, Mae Hia",1,1,0.0625,0
"study 2","Thailand","general population",30720,1,"Mui and Buu","Thai","Female",49,"Thai",1,0,"Farmer","Vendor",NA,NA,"Rural","Buddhist","Buddhist",0,"Wat Umong",1,1,0.333333333333333,0.21875
"study 2","Thailand","general population",30721,1,"Mui and Buu","Thai","Male",59,"Thai",1,-1,"passed away","Vendor",NA,NA,"Rural","Buddhist","Buddhist",1,"Wat Ram Poeng",1,1,0.1875,0.5
"study 2","Thailand","general population",30722,1,"Mui and Buu","Thai","Female",78,"Thai",1,0,"passed away","farmer / vendor",NA,NA,"Rural","Buddhist","Buddhist",1,"Wat Pong Noi",1,1,0.115384615384615,0.3125
"study 2","Thailand","general population",30723,1,"Mui and Buu","Thai","Female",69,"Thai",1,0,"Passed away","Housewife","Vocational school",NA,"Urban","Buddhist","Buddhist",0,"Wat Umong",1,1,0.125,0.3125
"study 2","Thailand","general population",30724,1,"Mui and Buu","Thai","Female",32,"Thai",1,1,"Mom: passed away, Divorced","Labor","Bachelors degree",NA,"Rural","Buddhist","Buddhist",-1,"Wat Baan Ai",1,1,0.222222222222222,0.09375
"study 2","Thailand","general population",30725,1,"Mui and Buu","Thai","Female",41,"Thai",1,-1,"housewife","officer","Bachelors degree",NA,"Rural","Buddhist","Buddhist",-1,"mdata",1,1,0,0.125
"study 2","Thailand","general population",30726,1,"Mui and Buu","Thai","Female",47,"Thai",1,0,"passed away","Housekeeper",NA,NA,"Rural","Buddhist","Buddhist",0,"Wat Baan Pong",1,1,0.192307692307692,0.21875
"study 2","Thailand","general population",30727,1,"Mui and Buu","Thai","Female",46,"Thai",1,0,"Dead","Accountant",NA,NA,"Rural","Buddhist","Buddhist",0,"Missing Data",1,1,0.222222222222222,0.107142857142857
"study 2","Thailand","general population",30728,1,"Mui and Buu","Thai","Female",29,"Thai",0,0,"Agriculture, farmer","Owner , self-employed","Bachelors degree",NA,"Rural","Buddhist","Buddhist",0,"Neighbor temple",0,0,0.1875,0.28125
"study 2","Thailand","general population",30729,1,"Mui and Buu","Thai","Female",40,"Thai",1,0,"housewife","shopkeeper",NA,NA,"Rural","Buddhist","Buddhist",0,"Wat Pong Noi",1,1,0.230769230769231,0.1875
"study 2","Thailand","general population",30730,1,"Mui and Buu","Thai","Female",22,"Thai",1,0,"farmer","farmer",NA,NA,"Rural","Buddhist","Buddhist",0,"Wat Phra That Doi Pang Oong",1,1,0.125,0.09375
"study 2","Thailand","general population",30731,1,"Mui and Buu","Thai","Male",31,"Thai",1,0,"Gardener","Government official","Bachelors degree",NA,"Rural","Buddhist","Buddhist",0,"Wat Kongkha Nimit",1,1,0.125,0.125
"study 2","Thailand","general population",30732,1,"Mui and Buu","Thai","Female",48,"Thai",1,0,"Pass away","Farmer / seller","No HS degree",NA,"Rural","Buddhist","Buddhist",0,"Wat Doi Sio",1,1,0.1875,0.5
"study 2","Thailand","general population",30733,1,"Mui and Buu","Thai","Female",52,"Thai",0,NA,"farmer","organic farmer",NA,NA,"Rural","Buddhist","Buddhist",0,"Baan Doi Sio / Soka Gakkai organization in San Kam Paeng, Leader",0,0,0.148148148148148,0.0625
"study 2","Thailand","general population",30734,1,"Mui and Buu","Thai","Male",26,"Thai",0,-1,"Farmer","Farmer",NA,NA,"Rural","Buddhist","Buddhist",-1,"mdata",0,0,0.1875,0.1875
"study 2","Thailand","general population",30735,1,"Mui and Buu","Thai","Female",64,"Thai",1,0,"Pass away","Farmer",NA,NA,"Rural","Buddhist","Buddhist",0,"Wat Baan Hong",1,1,0.125,0
"study 2","Thailand","general population",30736,1,"Mui and Buu","Thai","Female",53,"Thai",0,0,"Pass away","Take care of older sister","No HS degree",NA,"Rural","Buddhist","Buddhist",1,"Neighborhood temple",0,0,0.1875,0.09375
"study 2","Thailand","general population",30737,1,"Mui and Buu","Thai","Female",70,"Thai",0,-1,"pass away","not work",NA,NA,"Rural","Buddhist","Buddhist",0,"neighborhood temple",0,0,0.125,0.0625
"study 2","Thailand","general population",30738,1,"Mui and Buu","Thai","Female",13,"Thai",1,0,"pass away","rice farmer","Bachelors degree",NA,"Rural","Buddhist","Buddhist",0,"Wat Pa Faek Tai",1,1,0.0625,0
"study 2","Thailand","general population",30739,1,"Mui and Buu","Thai","Male",30,"Thai",1,0,"Farmer","Seller","Bachelors degree",NA,"Rural","Buddhist","Buddhist",-1,"Way Huai So",1,1,0.1875,0.0625
"study 2","Thailand","general population",30740,1,"Mui and Buu","Thai","Female",59,"Thai",1,0,"Passed away","Farmer","No HS degree",NA,"Rural","Buddhist","Buddhist",0,"Wat Don Jiang",1,1,0.148148148148148,0.15625
"study 2","Thailand","general population",30741,1,"Mui and Buu","Thai","Female",54,"Thai",1,0,"pass away","farmer",NA,NA,"Rural","Buddhist","Buddhist",0,"Wat Pon Jiang",1,1,0.222222222222222,0.3125
"study 2","Thailand","general population",30742,1,"Mui and Buu","Thai","Female",64,"Thai",1,0,"pass away","farmer",NA,NA,"Rural","Buddhist","Buddhist",0,"Wat Don Jiang",1,1,0.25,0.25
"study 2","Thailand","general population",30743,1,"Mui and Buu","Thai","Female",64,"Thai",1,0,"Pass away","Farmer","No HS degree",NA,"Rural","Buddhist","Buddhist",1,"Wat Don Jiang, Go to temple every holy day, but not stay overnight at temple.",1,1,0.296296296296296,0.28125
"study 2","Thailand","general population",30744,1,"Mui and Buu","Thai","Female",60,"Thai",1,0,"Pass away","Farmer","No HS degree",NA,"Rural","Buddhist","Buddhist",0,"Wat Don Jiang",1,1,0.0625,0.09375
"study 2","Thailand","general population",30745,1,"Mui and Buu","Thai","Female",45,"Thai",1,0,"farmer","farmer",NA,NA,"Rural","Buddhist","Buddhist",0,"husband often goes + have no time -> excuse (not go), not go to temple yet but make merit",1,1,0.333333333333333,0.21875
"study 2","Thailand","general population",30746,1,"Mui and Buu","Thai","Female",40,"Thai",1,0,"farmer","farmer","Bachelors degree",NA,"Rural","Buddhist","Buddhist",0,"Wat Baan Dan",1,1,0.3125,0
"study 2","Thailand","general population",30747,1,"Mui and Buu","Thai","Female",60,"Thai",1,0,"No work","Farmer","No HS degree",NA,"Rural","Buddhist","Buddhist",0,"Wat Baan Dong Ka",1,1,0.1875,0.125
"study 2","Thailand","general population",30748,1,"Mui and Buu","Thai","Female",62,"Thai",1,0,"No work","Farmer","No HS degree",NA,"Rural","Buddhist","Buddhist",0,"Wat Baan Dong Ka",1,1,0.0625,0.03125
"study 2","Thailand","general population",30749,1,"Mui and Buu","Thai","Female",39,"Thai",1,0,"farmer","farmer",NA,NA,"Rural","Wat Baan Pong Kiang","Buddhist",0,"Buddhist",1,1,0.0625,0.25
"study 2","Thailand","general population",30750,1,"Mui and Buu","Thai","Male",67,"Thai",1,0,"stay home","farmer",NA,NA,"Rural","Wat Hua Deng","Buddhist",0,"Buddhist",1,1,0.148148148148148,0.0666666666666667
"study 2","Thailand","general population",30751,1,"Mui and Buu","Thai","Female",62,"Thai",1,0,"Dead","Farmer","No HS degree",NA,"Rural","Buddhist","Buddhist",0,"Wat Rong Deu",1,1,0.222222222222222,0.125
"study 2","Thailand","general population",30752,1,"Mui and Buu","Thai","Female",56,"Thai",0,-1,"Dead","Farmer","No HS degree",NA,"Rural","Buddhist","Buddhist",0,"Wat Nong Ban",0,0,0.333333333333333,0.25
"study 2","Thailand","general population",30753,1,"Mui and Buu","Thai","Male",67,"Thai",0,-1,"dad: no job, stay home","seller","Bachelors degree",NA,"Rural","Buddhist","Buddhist",0,"not go to temple but donate money for Kathina (after Buddhist lent) & for building temple",0,0,0.4375,0.0625
"study 2","Thailand","general population",30754,1,"Mui and Buu","Thai","Female",26,"Thai",1,0,"government official","secretary",NA,NA,"Rural","Buddhist","Buddhist",0,"neighborhood temple",1,1,0.125,0.46875
"study 2","Thailand","general population",30755,1,"Mui and Buu","Thai","Female",36,"Thai",1,0,"Sick","Farmer","No HS degree",NA,"Rural","Buddhist","Buddhist",1,"Wat Sri Amphawan",1,1,0.185185185185185,0.28125
"study 2","Thailand","general population",30756,1,"Mui and Buu","Thai","Female",56,"Thai",1,0,"Dead","Farmer","No HS degree",NA,"Rural","Buddhist","Buddhist",0,"Wat San Pa Yang",1,1,0.185185185185185,0.09375
"study 2","Thailand","general population",30757,1,"Mui and Buu","Thai","Female",64,"Thai",1,0,"dead","farmer",NA,NA,"Rural","Buddhist","Buddhist",0,"Wat San Pa Yang",1,1,0.1875,0.15625
"study 2","Thailand","general population",30758,1,"Mui and Buu","Thai","Female",51,"Thai",1,0,"stay home","farmer",NA,NA,"Rural","Buddhist","Buddhist",0,"Wat Don Jiang",1,1,0.153846153846154,0.28125
"study 2","Thailand","general population",30759,1,"Mui and Buu","Thai","Female",56,"Thai",1,0,"Dead","Farmer","No HS degree",NA,"Rural","Buddhist","Buddhist",0,"Wat Baan Pong Ka",1,1,0.269230769230769,0.15625
"study 2","Thailand","general population",30760,1,"Mui and Buu","Thai","Female",60,"Thai",1,0,"Pass away","Seller","No HS degree",NA,"Rural","Buddhist","Buddhist",0,"Wat Suan Prik",1,1,0.111111111111111,0.03125
"study 2","Thailand","general population",30761,1,"Mui and Buu","Thai","Female",52,"Thai",1,0,"pass away","contract",NA,NA,"Rural","Buddhist","Buddhist",0,"Wat Suan Prik",1,1,0.16,0.107142857142857
"study 2","Thailand","general population",30762,1,"Mui and Buu","Thai","Female",35,"Thai",1,0,"contract worker","practical nurse","Bachelors degree",NA,"Rural","Buddhist","Buddhist",0,"Wat Suan Prik",1,1,0.0625,0.0625
"study 2","Thailand","general population",30789,2,"Mui and Buu","Thai","Male",24,"Thai",1,1,"Farmer","Owner",NA,NA,"Urban","Buddhist","Missing Data",-1,"Missing Data",1,1,0.111111111111111,0.107142857142857
"study 2","Thailand","general population",30790,2,"Mui and Buu","Thai","Male",26,"Thai",1,0,"[Not translated]","[Not translated]",NA,NA,"Rural","Buddhist","Missing Data",0,"[Not translated]",1,1,0.25,0
"study 2","Thailand","general population",30791,2,"Mui and Buu","Thai","Male",28,"Thai",1,0,"owner","Architect",NA,NA,"Urban","Buddhist","mdata",-2,"mdata",1,1,0.2,0
"study 2","Thailand","general population",30792,2,"Mui and Buu","Thai","Female",24,"Thai",1,0,"officer","officer",NA,NA,"Urban","Buddhist","Buddhist",0,"none, offer food to monks on holy days",1,1,0.1875,0.09375
"study 2","Thailand","general population",30793,2,"Mui and Buu","Thai","Female",21,"Thai",1,0,"Government / Salon","Front desk officer","Bachelors degree",NA,"Urban","Buddhist","Buddhist",1,"In Muang Chiang Mai, Wat Chedi Luang, Wat Phra Singh, Wat Pan Tao, depends",1,1,0.222222222222222,0.3125
"study 2","Thailand","general population",30794,2,"Mui and Buu","Thai","Female",31,"Thai",1,0,"Teacher","Teacher in University","Other graduate degree",NA,"Rural","Buddhist","Buddhist",1,"Umong temple, merit on holy day",1,1,0.185185185185185,0.125
"study 2","Thailand","general population",30795,2,"Mui and Buu","Thai","Female",55,"Thai",1,-1,"farmer","farmer",NA,NA,"Rural","Buddhist","Buddhist",1,"Wat Pa Tueng",1,1,0.1875,0.15625
"study 2","Thailand","general population",30796,2,"Mui and Buu","Thai","Male",23,"Thai",1,0,"farmer","unemployed",NA,NA,"Rural","Buddhist","Buddhist",-2,"make merit at the beginning of the Buddhist lent",1,1,0.375,0.3125
"study 2","Thailand","general population",30797,2,"Mui and Buu","Thai","Female",27,"Thai",0,0,"Government","Customer service",NA,NA,"Urban","Buddhist","Buddhist",0,"Chai Mongkol / Chedi Luang / Phra Singh / Umong",0,0,0.3125,0.125
"study 2","Thailand","general population",30798,2,"Mui and Buu","Thai","Female",49,"Thai",1,0,"Passed away","Housekeeper",NA,NA,"Rural","Buddhist","Buddhist",0,"Wat Fai Hin, Wat Suan Dok, Wat Umong, Wat Ram Peung, Wat Chat Mongkol",1,1,0.37037037037037,0.1875
"study 2","Thailand","general population",30799,2,"Mui and Buu","Thai","Male",23,"Thai",1,0,"Mom: Accounting officer, Dad: lawyer","owner",NA,NA,"Urban","Buddhist","Buddhist",-1,"mdata",1,1,0.185185185185185,0.3125
"study 2","Thailand","general population",30800,2,"Mui and Buu","Thai","Male",25,"Thai",1,1,"Teacher","Engineer",NA,NA,"Rural","Buddhist","Buddhist",-1,"neighborhood temple / holy day",1,1,0.0625,0
"study 2","Thailand","general population",30801,2,"Mui and Buu","Thai","Female",21,"Thai",1,0,"Owner","Part time",NA,NA,"Rural","Buddhist","Buddhist",-2,"Missing Data",1,1,0.1875,0.1875
"study 2","Thailand","general population",30802,2,"Mui and Buu","Thai","Female",22,"Thai",1,0,"Vendor","Vendor",NA,NA,"Rural","Buddhist","Buddhist",-1,"Wat Huay Sai",1,1,0.375,0.5
"study 2","Thailand","general population",30803,2,"Mui and Buu","Thai","Female",35,"Thai",0,NA,"Vendor","Housewife",NA,NA,"Rural","Buddhist","Buddhist",0,"Wat chai mongkol",0,0,0.37037037037037,0.15625
"study 2","Thailand","general population",30804,2,"Mui and Buu","Thai","Male",37,"Thai",1,-1,"Housewife","Vendor","Bachelors degree",NA,"Urban","Buddhist","Buddhist",0,"Wat Pongnoi, Umong temple",1,1,0.444444444444444,0.15625
"study 2","Thailand","general population",30805,2,"Mui and Buu","Thai","Female",39,"Thai",1,0,"Passed away","Officer",NA,NA,"Urban","Buddhist","Buddhist",0,"Neighborhood temple",1,1,0.25,0.09375
"study 2","Thailand","general population",30806,2,"Mui and Buu","Thai","Female",18,"Thai",1,-2,"Passed away","Vendor",NA,NA,"Rural","Buddhist","Buddhist",-2,"Missing Data",1,1,0.1875,0.09375
"study 2","Thailand","general population",30807,2,"Mui and Buu","Thai","Female",31,"Thai",1,0,"farmer","Vendor",NA,NA,"Rural","Buddhist","Buddhist",0,"Wat San Kang pla",1,1,0.3125,0.21875
"study 2","Thailand","general population",30808,2,"Mui and Buu","Thai","Male",21,"Thai",1,0,"farmer","student",NA,NA,"Rural","Buddhist","Buddhist",-2,"Wat chai mongkol",1,1,0.259259259259259,0.34375
"study 2","Thailand","general population",30809,2,"Mui and Buu","Thai","Male",21,"Thai",0,0,"Architecture","Student","Bachelors degree",NA,"Urban","Buddhist","Buddhist",-1,"Wat Chai Mongkol",0,0,0.222222222222222,0.1875
"study 2","Thailand","general population",30810,2,"Mui and Buu","Thai","Male",28,"Thai",1,0,"Teacher","State enterprise employee","Bachelors degree",NA,"Rural","Buddhist","Buddhist",0,"Neighborhood temple",1,1,0.148148148148148,0.125
"study 2","Thailand","general population",30811,2,"Mui and Buu","Thai","Female",55,"Thai",1,0,"Farmer","for hire",NA,NA,"Urban","Buddhist","Buddhist",0,"Wat Nong Hoy",1,1,0.3125,0.5
"study 2","Thailand","general population",30812,2,"Mui and Buu","Thai","Female",40,"Thai",1,0,"Mom: maid, Father: teacher","government official (retired)",NA,NA,"Urban","Buddhist","Buddhist",0,"neighborhood temple",1,1,0.259259259259259,0.09375
"study 2","Thailand","general population",30813,2,"Mui and Buu","Thai","Female",39,"Thai",0,-2,"Employed","Employed","Bachelors degree",NA,"Rural","Buddhist","Buddhist",-2,"Neighborhood temple",0,0,0.37037037037037,0.09375
"study 2","Thailand","general population",30814,2,"Mui and Buu","Thai","Male",39,"Thai",1,0,"Farmer","employed / for hire",NA,NA,"Rural","Buddhist","Buddhist",-1,"Neighborhood temple",1,1,0.333333333333333,0.03125
"study 2","Thailand","general population",30815,2,"Mui and Buu","Thai","Female",46,"Thai",1,0,"passed away","employed",NA,NA,"Rural","Buddhist","Buddhist",0,"neighborhood temple",1,1,0.0740740740740741,0.09375
"study 2","Thailand","general population",30816,2,"Mui and Buu","Thai","Female",64,"Thai",0,-1,"passed away","Housewife",NA,NA,"Urban","Buddhist","Buddhist",0,"Umong temple",0,0,0.3125,0.3125
"study 2","Thailand","general population",30817,2,"Mui and Buu","Thai","Female",63,"Thai",1,0,"Housewife","Vendor","No HS degree",NA,"Urban","Buddhist","Buddhist",-1,"Umong temple / Wat Pong Noi",1,1,0.125,0.03125
"study 2","Thailand","general population",30818,2,"Mui and Buu","Thai","Female",64,"Thai",1,0,"Farmer","Vendor","No HS degree",NA,"Rural","Buddhist","Buddhist",0,"Wat Pong Noi",1,1,0.148148148148148,0.21875
"study 2","Thailand","general population",30819,2,"Mui and Buu","Thai","Male",50,"Thai",1,0,"Mom: housewife, Dad: passed away","general contractor",NA,NA,"Rural","Buddhist","Buddhist",0,"Korat, Wat Pa Am Pan (forest temple)",1,1,0.296296296296296,0.15625
"study 2","Thailand","general population",30820,2,"Mui and Buu","Thai","Male",50,"Thai",0,0,"Passed away","trash keeper (sell recycle materials)",NA,NA,"Rural","Buddhist","Buddhist",-1,"mdata",0,0,0.259259259259259,0.0625
"study 2","Thailand","general population",30821,2,"Mui and Buu","Thai","Female",50,"Thai",0,0,"Passed away","Trash keeper","No HS degree",NA,"Rural","Buddhist","Buddhist",-1,"Any temple that works , occasionally",0,0,0.1875,0.15625
"study 2","Thailand","general population",30822,2,"Mui and Buu","Thai","Male",43,"Thai",0,0,"Passed away","Municipal officer","No HS degree",NA,"Urban","Buddhist","Buddhist",-1,"Missing Data",0,0,0.3125,0.125
"study 2","Thailand","general population",30823,2,"Mui and Buu","Thai","Female",30,"Thai",0,0,"Housewife","Housewife",NA,NA,"Rural","Buddhist","Buddhist",-1,"mdata",0,0,0.3125,0.375
"study 2","Thailand","general population",30824,2,"Mui and Buu","Thai","Female",40,"Thai",0,-1,"passed away","municipal officer",NA,NA,"Rural","Buddhist","Buddhist",0,"offer food to monks in the morning / go to Wat Montian",0,0,0.185185185185185,0.0625
"study 2","Thailand","general population",30825,2,"Mui and Buu","Thai","Male",40,"Thai",1,-1,"Farmer / for hire","Labor","Vocational school",NA,"Rural","Buddhist","Buddhist",0,"Temples in Chiang Mai",1,1,0.192307692307692,0.40625
"study 2","Thailand","general population",30826,2,"Mui and Buu","Thai","Male",30,"Thai",1,0,"Dad: furniture","Labor, for hire",NA,NA,"Urban","Buddhist","Buddhist",-1,"Wat Tha Luang",1,1,0.444444444444444,0.46875
"study 2","Thailand","general population",30827,2,"Mui and Buu","Thai","Female",27,"Thai",1,0,"NGOs (farmer)","for hire (volunteer)",NA,NA,"Rural","Buddhist","Buddhist",-1,"Wat Ram Poeng / Wat Umong once a month",1,1,0.1875,0.53125
"study 2","Thailand","general population",30828,2,"Mui and Buu","Thai","Female",32,"Thai",1,0,"housewife","Teacher","Other graduate degree",NA,"Urban","Buddhist","Buddhist",0,"Wat Mokkha Wanaram",1,1,0.185185185185185,0.28125
"study 2","Thailand","general population",30830,2,"Mui and Buu","Thai","Male",39,"Thai",1,0,"Retired government official / dressmaker","Seller","Bachelors degree",NA,"Rural","Buddhist","Buddhist",-1,"Missing Data",1,1,0.185185185185185,0.09375
"study 2","Thailand","general population",30831,2,"Mui and Buu","Thai","Male",57,"Thai",1,0,"farmer","farmer",NA,NA,"Rural","Buddhist","Buddhist",0,"Wat Pa Teung",1,1,0.125,0.125
"study 2","Thailand","general population",30832,2,"Mui and Buu","Thai","Male",34,"Thai",1,-1,"farmer","contract worker",NA,NA,"Rural","Buddhist","Buddhist",-1,"neighborhood temple",1,1,0.125,0.09375
"study 2","Thailand","general population",30833,2,"Mui and Buu","Thai","Female",61,"Thai",NA,-1,"Pass away","Contract worker","No HS degree",NA,"Rural","Buddhist","Buddhist",0,"Neighbor temple",NA,NA,0.1875,0.125
"study 2","Thailand","general population",30834,2,"Mui and Buu","Thai","Female",60,"Thai",1,-1,"Housewife","Employee","No HS degree",NA,"Rural","Buddhist","Buddhist",1,"Wat Pa Teung",1,1,0.296296296296296,0.125
"study 2","Thailand","general population",30835,2,"Mui and Buu","Thai","Male",35,"Thai",1,0,"seller","researcher","Masters degree",NA,"Urban","Buddhist","Buddhist",-1,"mdata",1,1,0.259259259259259,0.0625
"study 2","Thailand","general population",30836,2,"Mui and Buu","Thai","Female",32,"Thai",1,0,"seller / farmer","research assistant","Masters degree",NA,"Rural","Buddhist","Buddhist",0,"Wat Pong Yang",1,1,0.1875,0.15625
"study 2","Thailand","general population",30837,2,"Mui and Buu","Thai","Male",29,"Thai",1,0,"Teacher / nurse","Researcher","Masters degree",NA,"Rural","Buddhist","Buddhist",0,"Wat Jed Yod / Wat Umong",1,1,0.111111111111111,0.25
"study 2","Thailand","general population",30838,2,"Mui and Buu","Thai","Female",49,"Thai",1,0,"Mom: Pass away, Dad: Stay home","Contract worker","No HS degree",NA,"Rural","Buddhist","Buddhist",1,"Wat San Pa Phad",1,1,0.25,0.03125
"study 2","Thailand","general population",30839,2,"Mui and Buu","Thai","Female",30,"Thai",1,0,"farmer","contract worker","Bachelors degree",NA,"Rural","Buddhist","Buddhist",0,"mdata",1,1,0.0740740740740741,0.0625
"study 2","Thailand","general population",30840,2,"Mui and Buu","Thai","Female",40,"Thai",1,0,"government official","housewife","Bachelors degree",NA,"Urban","Buddhist","Buddhist",0,"Wat San Pa Liang",1,1,0.25,0.09375
"study 2","Thailand","general population",30841,2,"Mui and Buu","Thai","Female",45,"Thai",1,0,"Stay home","Government official","Bachelors degree",NA,"Rural","Buddhist","Buddhist",0,"Wat Baan Lu",1,1,0.296296296296296,0.09375
"study 2","Thailand","general population",30842,2,"Mui and Buu","Thai","Female",37,"Thai",1,0,"Pass away / Contract worker","Contract worker","Bachelors degree",NA,"Urban","Buddhist","Buddhist",0,"Wat Pan An",1,1,0.111111111111111,0.09375
"study 2","Thailand","general population",30843,2,"Mui and Buu","Thai","Female",59,"Thai",1,-1,"pass away","contract worker",NA,NA,"Urban","Buddhist","Buddhist",0,"Wat Ram Peong",1,1,0.222222222222222,0.3125
"study 2","Thailand","general population",30844,2,"Mui and Buu","Thai","Female",61,"Thai",1,-1,"pass away","contract worker",NA,NA,"Urban","Buddhist","Buddhist",NA,"Wat Pong Noi",1,1,0.185185185185185,0.1875
"study 2","Thailand","general population",30845,2,"Mui and Buu","Thai","Female",66,"Thai",1,-1,"Pass away","Contract worker","No HS degree",NA,"Urban","Buddhist","Buddhist",0,"Wat Pong Noi",1,1,0.111111111111111,0.03125
"study 2","Thailand","general population",30846,2,"Mui and Buu","Thai","Female",48,"Thai",0,-1,"Pass away","Contract worker","No HS degree",NA,"Urban","Buddhist","Buddhist",0,"Wat Ram Poeng",0,0,0.222222222222222,0.03125
"study 2","Thailand","general population",30847,2,"Mui and Buu","Thai","Female",25,"Thai",0,-1,"pass away","contract worker","Vocational school",NA,"Urban","Buddhist","Buddhist",-1,"Wat Ram Poeng",0,0,0.111111111111111,0.0625
"study 2","Thailand","general population",30877,1,"Mui and Buu","Thai","Female",26,"Thai",1,1,"Mom: housekeeper, Dad: farmer","Highland Research & Development Institute",NA,NA,"Rural","Buddhist","Buddhist",0,"not go",1,1,0.296296296296296,0.625
"study 2","Thailand","general population",30878,1,"Mui and Buu","Thai","Male",46,"Thai",1,0,"farmer, passed away","owner / self-employed",NA,NA,"Rural","Buddhist","Buddhist",-2,"Wat Ram Poeng, any temple others tell",1,1,0.25,0.40625
